date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20211129,IND,98,MIN,100,0
20211129,CLE,114,DAL,96,0
20211129,WAS,99,SAS,116,0
20211129,POR,107,UTA,129,0
20211129,NOP,123,LAC,104,0
20211130,NYK,110,BRK,112,0
20211130,MEM,98,TOR,91,0
20211130,GSW,96,PHO,104,0
20211130,DET,92,POR,110,0
20211130,LAL,117,SAC,92,0
20211201,ATL,114,IND,111,0
20211201,DEN,103,ORL,108,0
20211201,MIN,107,WAS,115,0
20211201,PHI,87,BOS,88,0
20211201,CLE,111,MIA,85,0
20211201,CHO,125,MIL,127,0
20211201,DAL,139,NOP,107,0
20211201,HOU,114,OKC,110,0
20211201,SAC,124,LAC,115,0
20211202,CHI,119,NYK,115,0
20211202,MIL,93,TOR,97,0
20211202,OKC,79,MEM,152,0
20211202,DET,103,PHO,114,0
20211202,SAS,114,POR,83,0
20211203,MIA,113,IND,104,0
20211203,CLE,116,WAS,101,0
20211203,PHI,98,ATL,96,0
20211203,MIN,105,BRK,110,0
20211203,ORL,116,HOU,118,0
20211203,NOP,107,DAL,91,0
20211203,BOS,130,UTA,137,0
20211203,PHO,96,GSW,118,0
20211203,LAC,119,LAL,115,0
20211204,DEN,113,NYK,99,0
20211204,CHI,111,BRK,107,0
20211204,MIA,102,MIL,124,0
20211204,MEM,97,DAL,90,0
20211204,SAS,112,GSW,107,0
20211204,BOS,145,POR,117,0
20211204,LAC,99,SAC,104,0
20211205,UTA,109,CLE,108,0
20211205,CHO,130,ATL,127,0
20211205,WAS,90,TOR,102,0
20211205,NOP,108,HOU,118,0
20211206,PHI,127,CHO,124,0
20211206,OKC,114,DET,103,0
20211206,WAS,110,IND,116,0
20211206,MEM,105,MIA,90,0
20211206,DEN,97,CHI,109,0
20211206,CLE,104,MIL,112,0
20211206,ATL,121,MIN,110,0
20211206,SAS,104,PHO,108,0
20211206,ORL,95,GSW,126,0
20211206,LAC,102,POR,90,0
20211207,BRK,102,DAL,99,0
20211207,NYK,121,SAS,109,0
20211207,BOS,102,LAL,117,0
20211208,PHI,110,CHO,106,0
20211208,CHI,92,CLE,115,0
20211208,WAS,119,DET,116,0
20211208,NYK,102,IND,122,0
20211208,MIL,104,MIA,113,0
20211208,OKC,110,TOR,109,0
20211208,BRK,104,HOU,114,0
20211208,DAL,104,MEM,96,0
20211208,UTA,136,MIN,104,0
20211208,DEN,120,NOP,114,0
20211208,POR,94,GSW,104,0
20211208,ORL,130,SAC,142,0
20211208,BOS,111,LAC,114,0
20211209,UTA,118,PHI,96,0
20211209,LAL,95,MEM,108,0
20211209,DEN,111,SAS,123,0
20211210,SAC,123,CHO,124,0
