datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2010-10-26 15:23:13-04:00,188.0,1.9090909090909092,-110,Bet365,over,BOS,MIA,3
2010-10-26 15:23:13-04:00,188.0,1.9090909090909092,-110,Bet365,under,BOS,MIA,3
2010-10-26 15:19:23-04:00,188.0,1.8695652173913044,-115,Bodog Sportsbook,over,BOS,MIA,3
2010-10-26 15:19:23-04:00,188.0,1.9523809523809523,-105,Bodog Sportsbook,under,BOS,MIA,3
2010-10-26 15:35:07-04:00,188.5,1.9090909090909092,-110,Pinnacle,over,BOS,MIA,3
2010-10-26 15:35:07-04:00,188.5,2.0,100,Pinnacle,under,BOS,MIA,3
2010-10-26 14:28:11-04:00,188.0,1.9090909090909092,-110,Sports Interaction,over,BOS,MIA,3
2010-10-26 14:28:11-04:00,188.0,1.9090909090909092,-110,Sports Interaction,under,BOS,MIA,3
2010-10-26 18:06:51-04:00,204.0,1.970873786407767,-103,5Dimes,over,POR,PHO,3
2010-10-26 18:06:51-04:00,204.0,1.9345794392523366,-107,5Dimes,under,POR,PHO,3
2010-10-26 16:20:00-04:00,203.5,1.9090909090909092,-110,Bet365,over,POR,PHO,3
2010-10-26 16:20:00-04:00,203.5,1.9090909090909092,-110,Bet365,under,POR,PHO,3
2010-10-26 17:57:39-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,over,POR,PHO,3
2010-10-26 17:57:39-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,under,POR,PHO,3
2010-10-26 18:12:23-04:00,203.5,1.8771929824561404,-114,Pinnacle,over,POR,PHO,3
2010-10-26 18:12:23-04:00,203.5,2.03,103,Pinnacle,under,POR,PHO,3
2010-10-26 17:58:22-04:00,204.0,1.9090909090909092,-110,Sports Interaction,over,POR,PHO,3
2010-10-26 17:58:22-04:00,204.0,1.9090909090909092,-110,Sports Interaction,under,POR,PHO,3
2010-10-26 18:52:21-04:00,195.5,1.9803921568627452,-102,5Dimes,over,LAL,HOU,3
2010-10-26 18:52:21-04:00,195.5,1.9259259259259258,-108,5Dimes,under,LAL,HOU,3
2010-10-26 18:04:00-04:00,195.5,1.9090909090909092,-110,Bet365,over,LAL,HOU,3
2010-10-26 18:04:00-04:00,195.5,1.9090909090909092,-110,Bet365,under,LAL,HOU,3
2010-10-26 18:16:43-04:00,195.0,1.8695652173913044,-115,Bodog Sportsbook,over,LAL,HOU,3
2010-10-26 18:16:43-04:00,195.0,1.9523809523809523,-105,Bodog Sportsbook,under,LAL,HOU,3
2010-10-26 18:37:30-04:00,195.5,1.970873786407767,-103,Pinnacle,over,LAL,HOU,3
2010-10-26 18:37:30-04:00,195.5,1.9345794392523366,-107,Pinnacle,under,LAL,HOU,3
2010-10-26 18:18:12-04:00,195.5,1.9090909090909092,-110,Sports Interaction,over,LAL,HOU,3
2010-10-26 18:18:12-04:00,195.5,1.9090909090909092,-110,Sports Interaction,under,LAL,HOU,3
2010-10-27 15:11:59-04:00,185.0,1.9090909090909092,-110,5Dimes,over,CLE,BOS,3
2010-10-27 15:11:59-04:00,185.0,1.9090909090909092,-110,5Dimes,under,CLE,BOS,3
2010-10-27 14:48:40-04:00,185.0,1.9090909090909092,-110,Bet365,over,CLE,BOS,3
2010-10-27 14:48:40-04:00,185.0,1.9090909090909092,-110,Bet365,under,CLE,BOS,3
2010-10-27 14:45:18-04:00,185.0,1.9090909090909092,-110,Bodog Sportsbook,over,CLE,BOS,3
2010-10-27 14:45:18-04:00,185.0,1.9090909090909092,-110,Bodog Sportsbook,under,CLE,BOS,3
2010-10-27 14:50:01-04:00,184.5,1.9090909090909092,-110,Pinnacle,over,CLE,BOS,3
2010-10-27 14:50:01-04:00,184.5,2.0,100,Pinnacle,under,CLE,BOS,3
2010-10-27 14:59:08-04:00,185.0,1.9090909090909092,-110,Sports Interaction,over,CLE,BOS,3
2010-10-27 14:59:08-04:00,185.0,1.9090909090909092,-110,Sports Interaction,under,CLE,BOS,3
2010-10-27 15:11:59-04:00,188.0,1.9090909090909092,-110,5Dimes,over,BRK,DET,3
2010-10-27 15:11:59-04:00,188.0,1.9090909090909092,-110,5Dimes,under,BRK,DET,3
2010-10-27 13:47:16-04:00,188.0,1.9090909090909092,-110,Bet365,over,BRK,DET,3
2010-10-27 13:47:16-04:00,188.0,1.9090909090909092,-110,Bet365,under,BRK,DET,3
2010-10-27 11:43:47-04:00,188.0,1.9090909090909092,-110,Bodog Sportsbook,over,BRK,DET,3
2010-10-27 11:43:47-04:00,188.0,1.9090909090909092,-110,Bodog Sportsbook,under,BRK,DET,3
2010-10-27 14:52:03-04:00,188.0,1.9433962264150944,-106,Pinnacle,over,BRK,DET,3
2010-10-27 14:52:03-04:00,188.0,1.9615384615384615,-104,Pinnacle,under,BRK,DET,3
2010-10-27 15:11:59-04:00,214.5,1.9090909090909092,-110,5Dimes,over,TOR,NYK,3
2010-10-27 15:11:59-04:00,214.5,1.9090909090909092,-110,5Dimes,under,TOR,NYK,3
2010-10-27 14:11:18-04:00,214.5,1.9090909090909092,-110,Bet365,over,TOR,NYK,3
2010-10-27 14:11:18-04:00,214.5,1.9090909090909092,-110,Bet365,under,TOR,NYK,3
2010-10-27 14:56:18-04:00,215.0,1.9090909090909092,-110,Bodog Sportsbook,over,TOR,NYK,3
2010-10-27 14:56:18-04:00,215.0,1.9090909090909092,-110,Bodog Sportsbook,under,TOR,NYK,3
2010-10-27 14:48:56-04:00,214.5,1.9345794392523366,-107,Pinnacle,over,TOR,NYK,3
2010-10-27 14:48:56-04:00,214.5,1.970873786407767,-103,Pinnacle,under,TOR,NYK,3
2010-10-27 15:04:29-04:00,192.5,1.9523809523809523,-105,5Dimes,over,PHI,MIA,3
2010-10-27 15:04:29-04:00,192.5,1.9523809523809523,-105,5Dimes,under,PHI,MIA,3
2010-10-27 15:08:16-04:00,192.5,1.9090909090909092,-110,Bet365,over,PHI,MIA,3
2010-10-27 15:08:16-04:00,192.5,1.9090909090909092,-110,Bet365,under,PHI,MIA,3
2010-10-27 15:07:46-04:00,192.0,1.8695652173913044,-115,Bodog Sportsbook,over,PHI,MIA,3
2010-10-27 15:07:46-04:00,192.0,1.9523809523809523,-105,Bodog Sportsbook,under,PHI,MIA,3
2010-10-27 15:05:04-04:00,192.5,1.970873786407767,-103,Pinnacle,over,PHI,MIA,3
2010-10-27 15:05:04-04:00,192.5,1.9345794392523366,-107,Pinnacle,under,PHI,MIA,3
2010-10-27 14:29:10-04:00,192.5,1.9090909090909092,-110,Sports Interaction,over,PHI,MIA,3
2010-10-27 14:29:10-04:00,192.5,1.9090909090909092,-110,Sports Interaction,under,PHI,MIA,3
2010-10-27 15:58:59-04:00,192.5,1.9523809523809523,-105,5Dimes,over,OKC,CHI,3
2010-10-27 15:58:59-04:00,192.5,1.9523809523809523,-105,5Dimes,under,OKC,CHI,3
2010-10-27 13:44:17-04:00,192.5,1.9090909090909092,-110,Bet365,over,OKC,CHI,3
2010-10-27 13:44:17-04:00,192.5,1.9090909090909092,-110,Bet365,under,OKC,CHI,3
2010-10-27 13:41:18-04:00,193.0,1.9090909090909092,-110,Bodog Sportsbook,over,OKC,CHI,3
2010-10-27 13:41:18-04:00,193.0,1.9090909090909092,-110,Bodog Sportsbook,under,OKC,CHI,3
2010-10-27 15:59:06-04:00,192.5,1.9523809523809523,-105,Pinnacle,over,OKC,CHI,3
2010-10-27 15:59:06-04:00,192.5,1.9523809523809523,-105,Pinnacle,under,OKC,CHI,3
2010-10-27 13:49:10-04:00,193.0,1.9090909090909092,-110,Sports Interaction,over,OKC,CHI,3
2010-10-27 13:49:10-04:00,193.0,1.9090909090909092,-110,Sports Interaction,under,OKC,CHI,3
2010-10-27 15:33:29-04:00,189.0,1.9523809523809523,-105,5Dimes,over,NOP,MIL,3
2010-10-27 15:33:29-04:00,189.0,1.9523809523809523,-105,5Dimes,under,NOP,MIL,3
2010-10-27 05:55:08-04:00,189.0,1.9090909090909092,-110,Bet365,over,NOP,MIL,3
2010-10-27 05:55:08-04:00,189.0,1.9090909090909092,-110,Bet365,under,NOP,MIL,3
2010-10-27 08:36:54-04:00,189.0,1.9523809523809523,-105,Bodog Sportsbook,over,NOP,MIL,3
2010-10-27 08:36:54-04:00,189.0,1.8695652173913044,-115,Bodog Sportsbook,under,NOP,MIL,3
2010-10-27 15:02:01-04:00,189.0,1.9615384615384615,-104,Pinnacle,over,NOP,MIL,3
2010-10-27 15:02:01-04:00,189.0,1.9433962264150944,-106,Pinnacle,under,NOP,MIL,3
2010-10-27 15:46:29-04:00,192.5,1.9523809523809523,-105,5Dimes,over,MEM,ATL,3
2010-10-27 15:46:29-04:00,192.5,1.9523809523809523,-105,5Dimes,under,MEM,ATL,3
2010-10-27 15:44:17-04:00,192.5,1.9090909090909092,-110,Bet365,over,MEM,ATL,3
2010-10-27 15:44:17-04:00,192.5,1.9090909090909092,-110,Bet365,under,MEM,ATL,3
2010-10-27 15:42:19-04:00,192.0,1.8695652173913044,-115,Bodog Sportsbook,over,MEM,ATL,3
2010-10-27 15:42:19-04:00,192.0,1.9523809523809523,-105,Bodog Sportsbook,under,MEM,ATL,3
2010-10-27 16:08:03-04:00,192.5,1.9523809523809523,-105,Pinnacle,over,MEM,ATL,3
2010-10-27 16:08:03-04:00,192.5,1.9523809523809523,-105,Pinnacle,under,MEM,ATL,3
2010-10-27 15:48:46-04:00,192.5,1.9090909090909092,-110,Sports Interaction,over,MEM,ATL,3
2010-10-27 15:48:46-04:00,192.5,1.9090909090909092,-110,Sports Interaction,under,MEM,ATL,3
2010-10-27 15:46:59-04:00,204.5,1.9523809523809523,-105,5Dimes,over,MIN,SAC,3
2010-10-27 15:46:59-04:00,204.5,1.9523809523809523,-105,5Dimes,under,MIN,SAC,3
2010-10-27 13:26:18-04:00,204.5,1.9090909090909092,-110,Bet365,over,MIN,SAC,3
2010-10-27 13:26:18-04:00,204.5,1.9090909090909092,-110,Bet365,under,MIN,SAC,3
2010-10-27 16:01:17-04:00,204.0,1.8695652173913044,-115,Bodog Sportsbook,over,MIN,SAC,3
2010-10-27 16:01:17-04:00,204.0,1.9523809523809523,-105,Bodog Sportsbook,under,MIN,SAC,3
2010-10-27 15:57:05-04:00,204.5,1.9433962264150944,-106,Pinnacle,over,MIN,SAC,3
2010-10-27 15:57:05-04:00,204.5,1.9615384615384615,-104,Pinnacle,under,MIN,SAC,3
2010-10-27 12:39:32-04:00,204.0,1.9090909090909092,-110,Sports Interaction,over,MIN,SAC,3
2010-10-27 12:39:32-04:00,204.0,1.9090909090909092,-110,Sports Interaction,under,MIN,SAC,3
2010-10-27 16:33:59-04:00,183.5,1.9523809523809523,-105,5Dimes,over,DAL,CHO,3
2010-10-27 16:33:59-04:00,183.5,1.9523809523809523,-105,5Dimes,under,DAL,CHO,3
2010-10-27 16:38:08-04:00,183.5,1.9090909090909092,-110,Bet365,over,DAL,CHO,3
2010-10-27 16:38:08-04:00,183.5,1.9090909090909092,-110,Bet365,under,DAL,CHO,3
2010-10-27 16:29:49-04:00,183.0,1.9090909090909092,-110,Bodog Sportsbook,over,DAL,CHO,3
2010-10-27 16:29:49-04:00,183.0,1.9090909090909092,-110,Bodog Sportsbook,under,DAL,CHO,3
2010-10-27 16:38:00-04:00,183.5,1.9433962264150944,-106,Pinnacle,over,DAL,CHO,3
2010-10-27 16:38:00-04:00,183.5,1.9615384615384615,-104,Pinnacle,under,DAL,CHO,3
2010-10-27 13:39:08-04:00,182.5,1.9090909090909092,-110,Sports Interaction,over,DAL,CHO,3
2010-10-27 13:39:08-04:00,182.5,1.9090909090909092,-110,Sports Interaction,under,DAL,CHO,3
2010-10-27 16:30:59-04:00,204.0,1.9523809523809523,-105,5Dimes,over,SAS,IND,3
2010-10-27 16:30:59-04:00,204.0,1.9523809523809523,-105,5Dimes,under,SAS,IND,3
2010-10-27 16:36:37-04:00,204.0,1.9090909090909092,-110,Bet365,over,SAS,IND,3
2010-10-27 16:36:37-04:00,204.0,1.9090909090909092,-110,Bet365,under,SAS,IND,3
2010-10-27 13:08:46-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,over,SAS,IND,3
2010-10-27 13:08:46-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,under,SAS,IND,3
2010-10-27 16:32:08-04:00,203.5,1.9090909090909092,-110,Pinnacle,over,SAS,IND,3
2010-10-27 16:32:08-04:00,203.5,2.0,100,Pinnacle,under,SAS,IND,3
