threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.667,0,1,2,1.000,31.1,11,20210520,Cassius Stanley,1,.833,20.3,6,131,3,0,15.1,0.0,.667,0,6,1,487.0,.500,11.0,IND,2,1,.975,0,0,2.000,3,171,2,0.0,19.3,+8,31.9
0,1,0,0,.750,53.6,3,20210520,Amida Brimah,0,0,0.0,3,115,0,0,0.0,0.0,0,0,4,0,283.0,0,0.0,IND,0,0,.852,0,0,0,2,187,2,15.7,22.1,+8,14.5
0,0,0,0,0,0,0,20210520,JaKarr Sampson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
.077,0,15,1,.667,18.7,18,20210520,Russell Westbrook,0,.462,47.8,6,105,13,1,15.0,1.3,.462,0,9,1,1992.0,.000,3.8,WAS,6,3,.531,2,1,.692,8,125,7,0.0,12.6,+30,24.2
.412,1,4,7,1.000,15.6,25,20210520,Bradley Beal,4,.647,17.4,3,107,17,0,17.9,0.0,.529,0,3,0,1704.0,.571,0.0,WAS,9,4,.682,0,1,.176,5,113,5,2.9,9.2,+18,31.6
.500,0,0,4,1.000,10.4,14,20210520,Raul Neto,2,.750,0.0,2,103,8,2,10.1,3.4,.625,0,2,0,1541.0,.500,0.0,WAS,5,1,.788,2,1,.250,3,133,3,0.0,6.1,+17,15.5
.375,0,2,3,1.000,14.0,18,20210520,Rui Hachimura,2,.875,8.9,4,110,8,0,0.0,0.0,.750,0,4,0,1524.0,.667,0.0,WAS,6,0,.922,1,1,.500,4,187,4,0.0,8.2,+14,15.4
.000,1,2,0,0,47.1,4,20210520,Alex Len,0,1.000,15.5,0,89,2,1,33.3,3.3,1.000,0,0,0,793.0,0,0.0,WAS,2,1,1.000,1,1,.000,7,138,7,6.2,27.6,+11,9.1
.000,5,0,0,.750,44.4,15,20210520,Daniel Gafford,0,.750,0.0,3,83,8,1,17.0,2.0,.750,0,4,2,1322.0,0,11.5,WAS,6,2,.768,2,0,.500,13,128,11,18.5,30.8,+17,21.4
.000,0,6,0,.000,16.2,8,20210520,Ish Smith,0,.571,28.9,0,104,7,1,20.2,2.0,.571,0,2,0,1320.0,0,0.0,WAS,4,2,.508,2,0,.286,4,104,4,0.0,9.5,+26,18.0
.000,1,1,0,0,8.9,6,20210520,Chandler Hutchison,0,.750,5.2,0,108,4,0,0.0,0.0,.750,0,0,0,1194.0,0,0.0,WAS,3,0,.750,2,0,.000,2,153,2,4.1,5.2,+8,8.1
.857,0,0,6,1.000,0.0,9,20210520,Dāvis Bertāns,2,.571,0.0,1,108,7,1,11.8,2.3,.429,0,1,0,1118.0,.333,0.0,WAS,3,1,.605,1,0,.143,0,102,0,0.0,0.0,+19,18.2
.750,0,0,3,0,0.0,3,20210520,Garrison Mathews,1,.375,0.0,0,113,4,0,0.0,0.0,.250,0,0,0,487.0,.333,0.0,WAS,1,0,.375,3,0,.000,0,76,0,0.0,0.0,-8,19.8
.500,0,1,2,0,0.0,10,20210520,Anthony Gill,2,1.250,30.7,0,113,4,0,0.0,0.0,1.000,0,0,1,387.0,1.000,19.6,WAS,4,0,1.250,1,0,.000,1,241,0,0.0,8.1,-8,24.9
.000,1,0,0,1.000,14.1,9,20210520,Robin Lopez,0,.800,0.0,1,99,5,0,0.0,0.0,.800,0,1,2,378.0,0,40.1,WAS,4,0,.827,1,0,.200,3,173,1,12.9,24.8,+7,34.7
.500,0,1,1,0,0.0,3,20210520,Isaac Bonga,1,.750,20.0,0,113,2,0,33.3,0.0,.500,0,0,1,320.0,1.000,23.7,WAS,1,1,.750,1,0,.000,1,119,0,0.0,9.8,-8,22.6
.250,0,2,1,0,16.7,0,20210520,Cassius Winston,0,.000,33.3,0,109,4,0,0.0,0.0,.000,0,0,0,320.0,.000,0.0,WAS,0,0,.000,1,0,.000,1,38,1,0.0,9.8,-8,30.1
0,0,0,0,0,0,0,20210520,Jeremy Lamb,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,Caris LeVert,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,Myles Turner,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,T.J. Warren,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,Deni Avdija,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,Thomas Bryant,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210520,Caleb Homesley,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
