datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2014-11-28 12:55:38-05:00,0,2.5,150,Bodog Sportsbook,BOS,BOS,CHI,1
2014-11-28 13:05:02-05:00,0,1.625,-160,Pinnacle,CHI,BOS,CHI,1
2014-11-28 13:05:02-05:00,0,2.44,144,Pinnacle,BOS,BOS,CHI,1
2014-11-28 12:16:04-05:00,0,1.625,-160,Intertops,CHI,BOS,CHI,1
2014-11-28 12:16:04-05:00,0,2.4,140,Intertops,BOS,BOS,CHI,1
2014-11-28 12:37:21-05:00,0,1.606060606060606,-165,Sports Interaction,CHI,BOS,CHI,1
2014-11-28 12:37:21-05:00,0,2.4,140,Sports Interaction,BOS,BOS,CHI,1
2014-11-28 18:15:36-05:00,0,1.25,-400,5Dimes,GSW,CHO,GSW,1
2014-11-28 18:15:36-05:00,0,4.55,355,5Dimes,CHO,CHO,GSW,1
2014-11-28 18:15:27-05:00,0,1.2352941176470589,-425,Bet365,GSW,CHO,GSW,1
2014-11-28 18:15:27-05:00,0,4.25,325,Bet365,CHO,CHO,GSW,1
2014-11-28 16:56:44-05:00,0,1.2,-500,Bodog Sportsbook,GSW,CHO,GSW,1
2014-11-28 16:56:44-05:00,0,4.5,350,Bodog Sportsbook,CHO,CHO,GSW,1
2014-11-28 18:40:59-05:00,0,1.2380952380952381,-420,Pinnacle,GSW,CHO,GSW,1
2014-11-28 18:40:59-05:00,0,4.61,361,Pinnacle,CHO,CHO,GSW,1
2014-11-28 18:45:59-05:00,0,1.2380952380952381,-420,Intertops,GSW,CHO,GSW,1
2014-11-28 18:45:59-05:00,0,4.3,330,Intertops,CHO,CHO,GSW,1
2014-11-28 18:46:48-05:00,0,1.2222222222222223,-450,Sports Interaction,GSW,CHO,GSW,1
2014-11-28 18:46:48-05:00,0,4.4,340,Sports Interaction,CHO,CHO,GSW,1
2014-11-28 19:40:51-05:00,0,1.7407407407407407,-135,5Dimes,DET,DET,MIL,1
2014-11-28 19:40:51-05:00,0,2.15,115,5Dimes,MIL,DET,MIL,1
